#Data tag : 24v2 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 160431:1615 | 03/14/11 04:27:03 | 11   | 11   | 0.000384509    | 0.000384508   |
| 160577:1622 | 03/16/11 01:49:18 | 25   | 25   | 0.000809574    | 0.000777541   |
| 160871:1636 | 03/19/11 02:43:57 | 58   | 58   | 0.045020191    | 0.042669847   |
| 160873:1636 | 03/19/11 04:38:59 | 27   | 27   | 0.019246401    | 0.019139164   |
| 160874:1636 | 03/19/11 05:38:49 | 54   | 54   | 0.036243687    | 0.034102225   |
| 160939:1639 | 03/20/11 13:52:58 | 45   | 45   | 0.056581073    | 0.055423121   |
| 160940:1639 | 03/20/11 15:00:31 | 19   | 19   | 0.022894054    | 0.021350933   |
| 160955:1640 | 03/20/11 19:51:24 | 92   | 92   | 0.323584612    | 0.208634580   |
| 160956:1640 | 03/20/11 21:20:37 | 29   | 29   | 0.095674088    | 0.093907573   |
| 160957:1640 | 03/20/11 21:49:09 | 406  | 406  | 1.141472689    | 1.100417263   |
| 160998:1642 | 03/21/11 13:48:00 | 74   | 74   | 0.204006925    | 0.198411045   |
| 161008:1642 | 03/21/11 15:20:04 | 29   | 29   | 0.075638805    | 0.074659733   |
| 161016:1642 | 03/21/11 17:06:50 | 120  | 120  | 0.275236254    | 0.270529850   |
| 161103:1644 | 03/22/11 10:17:36 | 65   | 65   | 0.264372117    | 0.256312752   |
| 161106:1644 | 03/22/11 11:11:52 | 8    | 8    | 0.030603044    | 0.029937491   |
| 161107:1644 | 03/22/11 11:27:40 | 8    | 8    | 0.029783957    | 0.029373319   |
| 161113:1644 | 03/22/11 11:37:33 | 23   | 23   | 0.083228887    | 0.081323085   |
| 161116:1644 | 03/22/11 11:55:16 | 8    | 8    | 0.028433851    | 0.028117261   |
| 161117:1644 | 03/22/11 12:03:28 | 15   | 15   | 0.052586969    | 0.051894523   |
| 161119:1644 | 03/22/11 12:27:46 | 73   | 73   | 0.227310982    | 0.218826110   |
| 161156:1644 | 03/22/11 14:37:48 | 14   | 14   | 0.042563644    | 0.036220921   |
| 161176:1644 | 03/22/11 15:52:34 | 18   | 18   | 0.051714823    | 0.051407971   |
| 161217:1645 | 03/22/11 19:45:14 | 226  | 226  | 1.153331158    | 1.140531447   |
| 161222:1645 | 03/23/11 00:34:26 | 40   | 40   | 0.170462297    | 0.166976258   |
| 161223:1645 | 03/23/11 01:27:26 | 124  | 124  | 0.489528714    | 0.483468575   |
| 161310:1647 | 03/23/11 20:22:31 | 38   | 38   | 0.222461796    | 0.213143446   |
| 161311:1647 | 03/23/11 20:57:36 | 262  | 262  | 1.296723052    | 1.282637758   |
| 161312:1647 | 03/24/11 01:34:03 | 317  | 317  | 1.177828217    | 1.173737091   |
| 162762:1711 | 04/15/11 07:19:43 | 18   | 18   | 0.069284589    | 0.065342882   |
| 162803:1712 | 04/15/11 12:05:44 | 16   | 16   | 0.089720918    | 0.083083967   |
| 162808:1712 | 04/15/11 12:30:52 | 20   | 20   | 0.110077221    | 0.108370408   |
| 162811:1712 | 04/15/11 13:07:29 | 164  | 164  | 0.842836205    | 0.827469881   |
| 162822:1713 | 04/15/11 20:21:55 | 76   | 76   | 0.408254747    | 0.401168617   |
| 162825:1713 | 04/15/11 22:13:45 | 104  | 104  | 0.514822677    | 0.508866492   |
| 162826:1713 | 04/15/11 23:30:09 | 17   | 17   | 0.081336481    | 0.073695723   |
| 162828:1713 | 04/16/11 00:55:30 | 15   | 15   | 0.067658914    | 0.066920500   |
| 162909:1716 | 04/16/11 13:44:41 | 96   | 96   | 0.789434550    | 0.778577984   |
| 163046:1721 | 04/18/11 18:58:59 | 99   | 99   | 0.715397662    | 0.706957036   |
| 163069:1722 | 04/19/11 01:39:37 | 144  | 144  | 1.057264433    | 1.044195830   |
| 163071:1722 | 04/19/11 05:21:19 | 90   | 90   | 0.603080792    | 0.591662119   |
| 163078:1722 | 04/19/11 07:01:50 | 14   | 14   | 0.089385984    | 0.087470200   |
| 163232:1727 | 04/20/11 20:03:42 | 24   | 24   | 0.168639032    | 0.166795099   |
| 163233:1727 | 04/20/11 20:28:06 | 119  | 119  | 0.789578779    | 0.780602035   |
| 163234:1727 | 04/20/11 22:28:10 | 20   | 20   | 0.123633846    | 0.122471019   |
| 163235:1727 | 04/20/11 22:56:58 | 89   | 89   | 0.520589894    | 0.515142767   |
| 163237:1727 | 04/21/11 02:13:32 | 62   | 62   | 0.326253499    | 0.323466818   |
| 163238:1727 | 04/21/11 03:41:56 | 2    | 2    | 0.006335522    | 0.006300276   |
| 163252:1728 | 04/21/11 07:49:09 | 30   | 30   | 0.277907627    | 0.269305477   |
| 163255:1728 | 04/21/11 08:22:08 | 386  | 386  | 2.935274143    | 2.906288061   |
| 163261:1728 | 04/21/11 15:19:46 | 41   | 41   | 0.273835397    | 0.271779162   |
| 163270:1729 | 04/21/11 20:59:20 | 718  | 718  | 6.649061581    | 6.571290488   |
| 163286:1730 | 04/22/11 07:39:20 | 105  | 105  | 0.715260231    | 0.704758441   |
| 163289:1730 | 04/22/11 09:41:02 | 111  | 111  | 0.668109023    | 0.663170639   |
| 163296:1731 | 04/22/11 15:16:52 | 201  | 201  | 2.037064399    | 2.012663447   |
| 163297:1731 | 04/22/11 19:00:46 | 37   | 37   | 0.334849292    | 0.325823344   |
| 163300:1731 | 04/22/11 20:28:22 | 230  | 230  | 1.884586070    | 1.866799580   |
| 163301:1731 | 04/23/11 00:31:18 | 82   | 82   | 0.615579603    | 0.610818089   |
| 163302:1731 | 04/23/11 01:45:25 | 108  | 108  | 0.784787062    | 0.779010753   |
| 163332:1732 | 04/23/11 08:27:40 | 455  | 455  | 4.833703133    | 4.694783353   |
| 163333:1732 | 04/23/11 13:31:24 | 54   | 54   | 0.520767727    | 0.509931010   |
| 163334:1732 | 04/23/11 15:52:51 | 78   | 78   | 0.688107508    | 0.683091047   |
| 163337:1732 | 04/23/11 17:51:08 | 168  | 168  | 1.379348891    | 1.358942831   |
| 163338:1732 | 04/23/11 20:58:38 | 66   | 66   | 0.512358053    | 0.504661843   |
| 163339:1732 | 04/23/11 22:03:10 | 73   | 73   | 0.550191185    | 0.538746145   |
| 163340:1732 | 04/23/11 23:19:01 | 199  | 199  | 1.421865305    | 1.413000734   |
| 163369:1735 | 04/24/11 17:02:03 | 43   | 43   | 0.467066620    | 0.455562513   |
| 163370:1735 | 04/24/11 17:47:34 | 67   | 67   | 0.700512893    | 0.693778694   |
| 163371:1735 | 04/24/11 18:57:32 | 96   | 96   | 0.924891273    | 0.917020025   |
| 163372:1735 | 04/24/11 21:17:41 | 22   | 22   | 0.199696883    | 0.192239451   |
| 163374:1735 | 04/24/11 22:03:18 | 347  | 347  | 2.796615488    | 2.769683197   |
| 163376:1735 | 04/25/11 03:51:04 | 84   | 84   | 0.601291152    | 0.597488316   |
| 163378:1735 | 04/25/11 05:35:23 | 193  | 193  | 1.268060008    | 1.260014300   |
| 163385:1736 | 04/25/11 12:22:21 | 145  | 145  | 1.363475920    | 1.350829620   |
| 163387:1736 | 04/25/11 15:05:43 | 98   | 98   | 0.829604241    | 0.823711963   |
| 163402:1737 | 04/25/11 19:47:14 | 341  | 341  | 3.423116867    | 3.383515039   |
| 163475:1739 | 04/26/11 19:31:44 | 225  | 225  | 2.621932329    | 2.479425021   |
| 163476:1739 | 04/26/11 21:24:19 | 105  | 105  | 1.125141296    | 1.082315628   |
| 163478:1739 | 04/26/11 23:12:47 | 11   | 11   | 0.110615561    | 0             |
| 163479:1739 | 04/26/11 23:24:03 | 145  | 145  | 1.454646664    | 1.433841591   |
| 163480:1739 | 04/27/11 00:36:47 | 71   | 71   | 0.682747376    | 0.654825336   |
| 163481:1739 | 04/27/11 01:54:30 | 35   | 35   | 0.325235735    | 0.317146503   |
| 163482:1739 | 04/27/11 02:29:33 | 10   | 10   | 0.091529274    | 0.084929155   |
| 163483:1739 | 04/27/11 02:52:40 | 16   | 16   | 0.143747985    | 0.142583677   |
| 163582:1743 | 04/27/11 19:26:21 | 10   | 10   | 0.163350419    | 0.161840136   |
